loc,pop,country,country_code
Beijing,19612368,China,CHN
Tianjin,12938693,China,CHN
Hebei,71854210,China,CHN
Shanxi,35712101,China,CHN
Nei Mongol,24706291,China,CHN
Liaoning,43746323,China,CHN
Jilin,27452815,China,CHN
Heilongjiang,38313991,China,CHN
Shanghai,23019196,China,CHN
Jiangsu,78660941,China,CHN
Zhejiang,54426891,China,CHN
Anhui,59500468,China,CHN
Fujian,36894217,China,CHN
Jiangxi,44567797,China,CHN
Shandong,95792719,China,CHN
Henan,94029939,China,CHN
Hubei,57237727,China,CHN
Hunan,65700762,China,CHN
Guangdong,104320459,China,CHN
Guangxi,46023761,China,CHN
Hainan,8671485,China,CHN
Chongqing,28846170,China,CHN
Sichuan,80417528,China,CHN
Guizhou,34748556,China,CHN
Yunnan,45966766,China,CHN
Tibet,3002165,China,CHN
Shaanxi,37327379,China,CHN
Gansu,25575263,China,CHN
Qinghai,5626723,China,CHN
Ningxia,6301350,China,CHN
Xinjiang,21815815,China,CHN
Hong Kong,7024000,China,CHN
Macau,536969,China,CHN
Taiwan,23187551,China,CHN
