loc,pop,country
Beijing,19612368,China
Tianjing,12938693,China
Hebei,71854210,China
Shanxi,35712101,China
Nei Mongol,24706291,China
Liaoning,43746323,China
Jilin,27452815,China
Heilongjiang,38313991,China
Shanghai,23019196,China
Jiangsu,78660941,China
Zhejiang,54426891,China
Anhui,59500468,China
Fujian,36894217,China
Jiangxi,44567797,China
Shandong,95792719,China
Henan,94029939,China
Hubei,57237727,China
Hunan,65700762,China
Guangdong,104320459,China
Guangxi,46023761,China
Hainan,8671485,China
Chongqing,28846170,China
Sichuan,80417528,China
Guizhou,34748556,China
Yunnan,45966766,China
Tibet,3002165,China
Shaanxi,37327379,China
Gansu,25575263,China
Qinghai,5626723,China
Ningxia,6301350,China
Xinjiang,21815815,China
Hongkong,7024000,China
Macao,536969,China
Taiwan,23187551,China
